Universidad,Tipo,Especialidad.SubEspecialidad,Modalidad,Serum,SNCDS,X1er.Niv.,X5to.Sup.,Prom.Pre,ENAM,Examen,Factor.A.,Nota.Final,Sede
UNSA,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,3.5,NA,41.2,15.2,69.9,NA
UPCH,Esp.,NEUROCIRUGIA,Libre,8,NA,NA,1,1.75,1,52,15.2,78.95,NA
CENTRO 3,Sub.,CIRUGIA DE RETINA Y VITREO,Libre,8,NA,NA,NA,1.938,1.5,53.6,5.6,70.638,NA
UPAO,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.737,NA,34.8,15.2,59.737,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.754,NA,46.4,15.2,71.354,NA
UNMSM,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,2.903,NA,33.6,15.2,61.703,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,1,1.843,2,51.6,15.2,79.643,Hospital Nacional Daniel Alcides Carrión
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.616,NA,36.4,15.2,61.216,NA
USMP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.712,1,34.8,15.2,60.712,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,3.359,NA,24.8,15.2,53.359,NA
UPAO,Esp.,PEDIATRIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/LA LIBERTA,8,NA,NA,NA,1.641,NA,38.4,21.2,69.241,Hospital Regional Docente de Trujillo
URP,Esp.,MEDICINA INTENSIVA,Libre,10,NA,2,1,1.775,NA,26.8,15.2,56.775,NA
URP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,NA,NA,3.393,NA,37.2,21.2,71.793,Instituto Nacional de Salud del Niño - San Borja
UNMSM,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.829,1.5,50.8,15.2,77.329,Hospital Nacional Arzobispo Loayza
UNSA,Esp.,MEDICINA INTENSIVA,Libre,10,NA,NA,NA,3.421,NA,31.6,15.2,60.221,NA
URP,Esp.,UROLOGIA,Libre,8,NA,NA,NA,1.711,1,44.4,15.2,70.311,NA
UNFV,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.447,NA,40.8,15.2,67.447,NA
UNMSM,Esp.,GASTROENTEROLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,1.709,NA,28.8,21.2,65.709,Hospital Nacional Dos de Mayo
USMP,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,1.989,1.5,54.8,15.2,84.489,Hospital Alberto Sabogal Sologuren
USMP,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,6,NA,NA,NA,1.74,1,46.4,15.2,70.34,Hospital de Emergencias Jose Casimiro Ulloa
UPCH,Esp.,PSIQUIATRIA,Libre,6,NA,NA,1,2.152,2,56.8,15.2,83.152,Hospital Nacional Cayetano Heredia
UNT,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.848,1.5,47.6,15.2,74.148,NA
UNMSM,Esp.,CARDIOLOGIA,Libre,8,NA,NA,NA,1.651,1,35.6,15.2,61.451,NA
UNMSM,Esp.,DERMATOLOGIA,Libre,10,NA,NA,1,1.74,1,54.8,15.2,83.74,NA
UCSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,NA,1.774,1.5,44.8,15.2,69.274,NA
UCSM,Esp.,UROLOGIA,Libre,6,NA,NA,NA,1.665,1,40.4,15.2,64.265,NA
UCSM,Esp.,MEDICINA INTENSIVA,Libre,8,NA,NA,NA,1.748,NA,43.6,15.2,68.548,NA
UCV,Esp.,ANESTESIOLOGIA,Libre,10,NA,4,NA,1.676,NA,33.2,15.2,64.076,Hospital de Apoyo Chepen La Libertad
UPLA,Esp.,GASTROENTEROLOGIA,Libre,6,NA,NA,NA,1.817,1,41.6,15.2,65.617,NA
UNMSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.868,1.5,49.2,15.2,77.768,Hospital Nacional Dos de Mayo
USP,Esp.,MEDICINA INTERNA,Libre,8,NA,3,NA,1.694,NA,32,15.2,59.894,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,1,1.871,1.5,55.2,15.2,84.771,NA
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,2.005,1.5,56,15.2,84.705,Instituto Nacional de Salud del Niño
UPCH,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.953,1.5,59.6,15.2,88.253,Hospital Nacional Arzobispo Loayza
USMP,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,6,NA,NA,NA,1.635,1,32.4,15.2,56.235,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.588,1,43.6,15.2,67.388,NA
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.85,1,40,15.2,68.05,NA
USMP,Esp.,NEUROCIRUGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,2,NA,1.705,NA,30,21.2,62.905,Hospital Nacional Daniel Alcides Carrión
UNT,Esp.,OFTALMOLOGIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/LA LIBERTA,10,NA,NA,NA,1.658,NA,33.6,21.2,66.458,NA
URP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.681,1,48,15.2,75.881,Hospital Regional de Huacho
UPCH,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.813,NA,52,15.2,79.013,Hospital Nacional Cayetano Heredia
UNPRG,Esp.,MEDICINA INTERNA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/LAMBAYEQU,10,NA,4,NA,3.374,NA,28.8,21.2,67.374,Hospital Regional Docente Las Mercedes - Chiclayo
UNFV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.949,1,45.2,15.2,73.349,NA
UNMSM,Esp.,PATOLOGIA CLINICA,Libre,8,NA,1,1,1.963,NA,45.6,15.2,72.763,Hospital de Emergencias Grau
USMP,Esp.,DERMATOLOGIA,Libre,8,NA,NA,1,1.822,1.5,47.6,15.2,75.122,NA
UPSJB,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,6,NA,NA,NA,1.639,NA,25.6,15.2,48.439,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.763,1.5,60,15.2,88.463,Hospital Nacional Edgardo Rebagliati Martins
UNMSM,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,8,NA,NA,NA,1.633,NA,36.8,15.2,61.633,NA
URP,Esp.,NEFROLOGIA,Libre,8,NA,NA,1,2.008,NA,42.4,15.2,68.608,NA
UCV,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.9,NA,34,15.2,59.1,NA
UNSA,Esp.,PEDIATRIA,Libre,6,NA,NA,NA,1.652,1,42.8,15.2,66.652,NA
UCSUR,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,6,NA,3,NA,1.743,1,35.2,15.2,62.143,Hospital Nacional Arzobispo Loayza
UNSAAC,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,1,1.8,NA,42,15.2,68,Hospital Antonio Lorena del Cusco
UNMSM,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.857,1.5,44,15.2,70.557,NA
UCSM,Esp.,OTORRINOLARINGOLOGIA,Libre,8,NA,NA,NA,1.78,1.5,52,15.2,78.48,NA
UPCH,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,2.047,1.5,48.8,15.2,75.547,NA
UNCP,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,8,NA,NA,NA,1.725,NA,32,15.2,56.925,NA
UCSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.64,1,32,15.2,57.84,NA
NORTE,Esp.,MEDICINA FAMILIAR Y COMUNITARIA,Libre,8,NA,1,NA,1.643,1,30,15.2,56.843,NA
UNFV,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.768,1,49.2,15.2,75.168,NA
USMP,Esp.,RADIOLOGIA,Cautiva/ESSALUD,5,2,4,NA,3.217,NA,46.4,21.2,81.817,Hospital Nacional Edgardo Rebagliati Martins
UPCH,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.918,1.5,52.8,15.2,81.418,NA
UPCH,Esp.,CIRUGIA ONCOLOGICA,Libre,6,NA,NA,NA,1.575,1,46.4,15.2,70.175,NA
UNSAAC,Esp.,RADIOLOGIA,Libre,8,NA,NA,NA,1.658,1,37.2,15.2,63.058,Hospital Regional Guillermo Díaz de la Vega - Abancay
UNFV,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.659,1,31.6,15.2,57.459,NA
UNMSM,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.552,1.5,48,15.2,74.252,NA
UNPRG,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.82,1.5,48.8,15.2,75.32,NA
CENTRO 1,Sub.,GINECOLOGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.859,1.5,64,5.6,82.959,Hospital Nacional Edgardo Rebagliati Martins
UNSA,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.68,1,38,15.2,65.88,NA
CENTRO 3,Sub.,NEUROLOGIA PEDIATRICA,Cautiva/ESSALUD,10,NA,NA,NA,1.783,1,60,8.8,81.583,NA
USMP,Esp.,CARDIOLOGIA,Libre,8,NA,NA,NA,1.69,1.5,44.4,15.2,70.79,NA
UPCH,Esp.,PEDIATRIA,Libre,10,NA,1,1,2.365,NA,43.2,15.2,72.765,NA
URP,Esp.,GERIATRIA,Libre,10,NA,NA,NA,1.889,NA,44.8,15.2,71.889,Hospital Alberto Sabogal Sologuren
URP,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,NA,1.761,1.5,43.2,15.2,69.661,NA
UNP,Esp.,OFTALMOLOGIA,Libre,8,NA,1,NA,1.671,NA,34,15.2,59.871,NA
UNSA,Esp.,GERIATRIA,Libre,8,NA,NA,NA,1.386,NA,32.4,15.2,56.986,NA
USMP,Esp.,CIRUGIA GENERAL,Libre,8,NA,NA,NA,1.755,NA,51.2,15.2,76.155,NA
UNSA,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.633,NA,27.6,15.2,54.433,NA
UNMSM,Esp.,DERMATOLOGIA,Cautiva/ESSALUD,10,NA,4,NA,3.149,NA,38.8,21.2,77.149,Hospital Nacional Edgardo Rebagliati Martins
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,8,NA,NA,NA,1.603,NA,41.6,15.2,66.403,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,3.463,NA,31.2,15.2,59.863,NA
URP,Esp.,NEUROCIRUGIA,Libre,10,NA,NA,1,1.713,1.5,50.8,15.2,80.213,NA
UNMSM,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,NA,1.796,NA,32,15.2,56.996,NA
USMP,Esp.,DERMATOLOGIA,Libre,6,NA,NA,NA,1.427,1,38,15.2,61.627,NA
UPCH,Esp.,PSIQUIATRIA,Libre,8,NA,NA,NA,1.967,2,50.8,15.2,77.967,Instituto Nacional de Salud Mental Honorio Delgado - Hideyo Noguchi
UNT,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.694,2,52.4,15.2,82.294,Hospital Víctor Lazarte Echegaray - Trujillo
UNMSM,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,NA,NA,1.768,1,36.8,15.2,64.768,NA
UNA,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.624,NA,39.2,15.2,64.024,NA
URP,Esp.,GASTROENTEROLOGIA,Libre,8,NA,NA,1,1.891,1,54.8,15.2,81.891,NA
UNMSM,Esp.,PATOLOGIA CLINICA,Libre,8,NA,1,NA,1.599,NA,36.4,15.2,62.199,NA
UPCH,Esp.,CIRUGIA DE TORAX Y CARDIOVASCULAR,Libre,10,NA,NA,NA,1.869,1,47.6,15.2,75.669,NA
USMP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,2,NA,1.84,1,53.2,15.2,83.24,Hospital Nacional Sergio Bernales
UNMSM,Esp.,PEDIATRIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,3.363,NA,42.4,21.2,80.963,Hospital Nacional Docente Madre Niño San Bartolome
UNMSM,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.693,NA,38.4,15.2,63.293,NA
UCSM,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,10,NA,NA,NA,1.748,1,43.2,15.2,71.148,Hospital Regional de Loreto Felipe Santiago Arriola Iglesias
USMP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.608,1,33.6,15.2,61.408,NA
URP,Esp.,GERIATRIA,Libre,10,NA,NA,1,1.769,1,32.4,15.2,61.369,NA
URP,Esp.,PEDIATRIA,Libre,8,NA,1,NA,1.639,1,44,15.2,70.839,Hospital Vitarte
UCV,Esp.,MEDICINA ONCOLOGICA,Libre,8,NA,NA,NA,1.668,NA,35.2,15.2,60.068,NA
URP,Esp.,MEDICINA INTENSIVA,Libre,6,NA,NA,NA,1.582,NA,36.4,15.2,59.182,NA
UNMSM,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.666,1,51.2,15.2,79.066,NA
UNMSM,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.726,1,54,15.2,77.926,Hospital Nacional Dos de Mayo
UNMSM,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,1.808,NA,41.2,15.2,68.208,NA
CENTRO 2,Sub.,OFTALMOLOGIA PEDIATRICA Y ESTRABISMO,Libre,10,NA,NA,1,3.65,NA,47.2,5.6,67.45,NA
UPLA,Esp.,MEDICINA INTERNA,Libre,10,NA,4,NA,3.388,NA,NA,15.2,NA,NA
CENTRO 2,Sub.,NEONATOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,6,4,4,NA,3.351,NA,52,8.8,78.151,Hospital María Auxiliadora
UNSLGI,Esp.,PATOLOGIA CLINICA,Libre,8,NA,NA,NA,1.794,1,40.4,15.2,66.394,NA
UPAO,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.37,NA,30,15.2,56.57,NA
UNMSM,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,1,2.038,2,57.6,15.2,85.838,Hospital Alberto Sabogal Sologuren
URP,Esp.,CARDIOLOGIA,Libre,8,NA,NA,1,2.405,1,57.2,15.2,84.805,Hospital Víctor Lazarte Echegaray - Trujillo
UNPRG,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.925,NA,44,15.2,69.125,NA
UPAO,Esp.,CIRUGIA ONCOLOGICA,Libre,10,NA,NA,NA,1.77,1,34.4,15.2,62.37,NA
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.916,2,54.4,15.2,83.516,Hospital Nacional Edgardo Rebagliati Martins
URP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.84,1,51.6,15.2,79.64,Hospital Central FAP
UNMSM,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,3,NA,3.688,NA,48,15.2,79.888,Hospital Militar Central
UCSM,Esp.,CIRUGIA DE CABEZA Y CUELLO,Libre,10,NA,NA,NA,1.795,1,42,15.2,69.995,NA
UNSLGI,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,NA,NA,1.741,1,25.6,15.2,49.541,NA
UPAO,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,1,1.709,1.5,46,15.2,71.409,Hospital II Chocope
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,1,2.043,2,49.2,15.2,79.443,NA
UPCH,Esp.,NEUMOLOGIA,Libre,6,NA,1,NA,1.63,NA,44.8,15.2,68.63,NA
UNFV,Esp.,MEDICINA INTENSIVA,Libre,10,NA,NA,1,1.863,NA,40.4,15.2,68.463,Hospital María Auxiliadora
UPSJB,Esp.,PEDIATRIA,Libre,10,NA,NA,NA,1.674,NA,36.4,15.2,63.274,NA
UNFV,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,6,NA,2,NA,1.719,NA,37.2,15.2,62.119,NA
UNFV,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.803,1.5,54.4,15.2,82.903,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.771,1,37.2,15.2,65.171,NA
UNSA,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.663,NA,32.8,15.2,59.663,NA
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.562,NA,28.8,15.2,55.562,NA
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,10,NA,1,NA,3.269,NA,53.2,15.2,82.669,NA
URP,Esp.,OTORRINOLARINGOLOGIA,Libre,10,NA,NA,NA,1.723,1,49.2,15.2,77.123,Hospital Regional Manuel Nuñez Butron - Puno
USMP,Esp.,NEUROLOGIA,Libre,8,NA,1,NA,1.739,1,41.6,15.2,68.539,NA
UNMSM,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,1.898,1.5,51.6,15.2,81.198,NA
UPAO,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.809,1,46.8,15.2,74.809,NA
UNSLGI,Esp.,CIRUGIA GENERAL,Libre,10,NA,1,NA,1.613,NA,30.4,15.2,58.213,NA
CENTRO 3,Esp.,RADIOTERAPIA,Libre,8,NA,NA,NA,1.763,NA,35.2,15.2,60.163,Hospital Carlos Alberto Seguín Escobedo - Arequipa
USMP,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,0,1.5,50,15.2,76.7,Hospital Nacional Arzobispo Loayza
URP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.642,NA,26.8,15.2,49.642,NA
UPAO,Esp.,NEUROCIRUGIA,Libre,8,NA,NA,NA,2.07,NA,45.6,15.2,70.87,NA
UNSA,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,1.703,1,40.4,15.2,66.303,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,6,NA,NA,NA,1.793,1,34.8,15.2,58.793,NA
UPSJB,Esp.,GASTROENTEROLOGIA,Libre,6,NA,NA,1,2.075,NA,32.8,15.2,57.075,NA
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.844,1.5,50.8,15.2,77.344,Hospital Nacional Daniel Alcides Carrión
UNFV,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.899,2,51.6,15.2,80.699,Hospital Nacional Guillermo Almenara Irigoyen
UNMSM,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.822,1,50.4,15.2,79.422,Hospital Nacional Arzobispo Loayza
UNMSM,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,1,1.971,2,58.4,15.2,88.571,Hospital Nacional Edgardo Rebagliati Martins
UNMSM,Esp.,MEDICINA DE EMERGENCIAS Y DESASTRES,Libre,10,NA,NA,NA,1.663,NA,38.8,15.2,65.663,Hospital Central PNP
UNSA,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.972,NA,23.6,15.2,48.772,NA
UNT,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,1,1.928,1.5,55.6,15.2,85.228,Instituto Regional de Oftalmología - Trujillo
UNMSM,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,1,1.859,1,36.8,15.2,65.859,NA
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.93,2,60.4,15.2,89.53,Hospital Nacional Guillermo Almenara Irigoyen
UNSA,Esp.,MEDICINA ONCOLOGICA,Libre,6,NA,NA,NA,1.642,1,50,15.2,73.842,Hospital III Goyeneche - Arequipa
UNMSM,Esp.,MEDICINA INTERNA,Libre,6,NA,NA,NA,3.18,NA,41.6,15.2,65.98,Hospital Nacional Dos de Mayo
UNT,Esp.,NEUROLOGIA,Libre,10,NA,NA,NA,1.848,1,46.8,15.2,74.848,Hospital Belén de Trujillo
USMP,Esp.,PEDIATRIA,Libre,10,NA,NA,1,1.771,1,46,15.2,74.971,NA
URP,Esp.,UROLOGIA,Libre,6,NA,NA,1,2.129,1.5,53.2,15.2,79.029,NA
UNMSM,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.802,1,43.6,15.2,71.602,NA
UNMSM,Esp.,ANESTESIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,8,NA,4,NA,1.651,NA,28,21.2,62.851,Hospital Nacional Arzobispo Loayza
UNFV,Esp.,GINECOLOGIA Y OBSTETRICIA,Libre,10,NA,NA,NA,1.813,1.5,49.6,15.2,78.113,Hospital María Auxiliadora
URP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Libre,10,NA,NA,NA,1.677,NA,40.4,15.2,67.277,Centro de Salud Peru Corea Bellavista
URP,Esp.,MEDICINA INTERNA,Libre,10,NA,NA,NA,1.821,1,31.2,15.2,59.221,NA
UNFV,Esp.,CIRUGIA GENERAL,Libre,6,NA,1,NA,1.728,NA,44.4,15.2,68.328,NA
USMP,Esp.,PEDIATRIA,Libre,8,NA,NA,1,1.861,1.5,49.2,15.2,76.761,NA
UNSA,Esp.,OFTALMOLOGIA,Libre,8,NA,NA,NA,1.724,1.5,54.8,15.2,81.224,Instituto Regional de Enfermedades Neoplásicas del Sur -  Arequipa
UPCH,Esp.,ENDOCRINOLOGIA,Libre,6,NA,NA,NA,0,NA,36.4,15.2,57.6,NA
URP,Esp.,PSIQUIATRIA,Libre,10,NA,NA,NA,1.906,1.5,54.8,15.2,83.406,Hospital Nacional Guillermo Almenara Irigoyen
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.75,1.5,50.8,15.2,77.25,Hospital Regional de Pucallpa
USMP,Esp.,CARDIOLOGIA,Cautiva/ESSALUD,0,NA,4,NA,3.425,NA,28.4,21.2,57.025,NA
UNSLGI,Esp.,ANESTESIOLOGIA,Libre,10,NA,NA,NA,1.625,NA,37.2,15.2,64.025,Hospital René Toche Groppo - Chincha
USMP,Esp.,ANESTESIOLOGIA,Libre,6,NA,NA,NA,1.7,NA,47.2,15.2,70.1,NA
USMP,Esp.,HEMATOLOGIA,Libre,10,NA,NA,NA,1.916,1.5,45.6,15.2,74.216,NA
UNMSM,Esp.,ANATOMIA PATOLOGICA,Libre,10,NA,NA,NA,1.859,NA,48.8,15.2,75.859,Hospital Nacional Daniel Alcides Carrión
UNFV,Esp.,ANESTESIOLOGIA,Libre,8,NA,NA,NA,2.13,NA,30.8,15.2,56.13,NA
UNT,Esp.,CIRUGIA GENERAL,Libre,10,NA,1,NA,1.75,1.5,52.8,15.2,82.25,Hospital Víctor Lazarte Echegaray - Trujillo
UPCH,Esp.,RADIOLOGIA,Cautiva/MINSA en sedes del MINSA de Lima Metropolitana,10,NA,4,NA,1.615,NA,31.2,21.2,68.015,Instituto Nacional de Enfermedades Neoplásicas
USMP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.846,NA,44.4,15.2,71.446,NA
UNFV,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,NA,1.759,1.5,57.2,15.2,85.659,Hospital Nacional Arzobispo Loayza
UNT,Esp.,OFTALMOLOGIA,Libre,10,NA,NA,NA,1.55,NA,30,15.2,56.75,NA
UCSM,Esp.,OTORRINOLARINGOLOGIA,Libre,6,NA,NA,NA,1.618,1,39.2,15.2,63.018,NA
URP,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,1,2.008,1.5,49.2,15.2,78.908,NA
UNMSM,Esp.,CIRUGIA PLASTICA,Libre,8,NA,NA,NA,1.869,1.5,50.8,15.2,77.369,NA
UNFV,Esp.,DERMATOLOGIA,Libre,10,NA,NA,NA,1.76,NA,40.4,15.2,67.36,NA
UNP,Esp.,PEDIATRIA,Libre,10,NA,1,1,1.698,NA,33.6,15.2,62.498,NA
USMP,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,NA,1.819,1,37.6,15.2,65.619,NA
UPCH,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,8,NA,NA,NA,1.699,1,44.8,15.2,70.699,NA
UPCH,Esp.,GASTROENTEROLOGIA,Libre,10,NA,NA,NA,1.476,1.5,52.8,15.2,80.976,NA
URP,Esp.,MEDICINA FISICA Y DE REHABILITACION,Libre,6,NA,NA,NA,1.771,1.5,39.2,15.2,63.671,NA
UPCH,Esp.,CIRUGIA PLASTICA,Libre,10,NA,NA,NA,1.906,2,55.6,15.2,84.706,NA
UPCH,Esp.,NEFROLOGIA,Libre,6,NA,NA,1,1.873,1.5,42.8,15.2,68.373,NA
CENTRO 3,Esp.,NEONATOLOGIA,Libre,10,NA,NA,NA,1.902,1.5,46,15.2,74.602,Hospital María Auxiliadora
UNSLGI,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.828,1,43.6,15.2,69.628,Hospital Regional de Ayacucho  Miguel Angel Mariscal Llerena
UNSAAC,Esp.,GINECOLOGIA Y OBSTETRICIA,Cautiva/MINSA en sedes de Regiones mas R. Lima y R. Callao/CUSCO,10,NA,4,NA,3.357,NA,33.6,21.2,72.157,Hospital Regional de Salud Cusco DIRESA Cusco (Ex H. Apoyo Departamental)
CENTRO 3,Esp.,MEDICINA LEGAL,Libre,8,NA,NA,NA,1.674,NA,28,15.2,52.874,NA
USMP,Esp.,ADMINISTRACION Y GESTION EN SALUD,Cautiva/ESSALUD,8,NA,NA,NA,1.73,NA,33.6,21.2,64.53,Hospital Nacional Edgardo Rebagliati Martins
USP,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.749,1,35.2,15.2,63.149,Hospital Regional Eleazar Guzman Barrón - Chimbote
CENTRO 1,Esp.,INMUNOLOGIA Y ALERGIA,Libre,10,NA,NA,1,1.922,1.5,50.4,15.2,80.022,Hospital Nacional Edgardo Rebagliati Martins
UPAO,Esp.,MEDICINA ONCOLOGICA,Libre,10,NA,NA,NA,3.395,NA,42,15.2,70.595,NA
URP,Esp.,ORTOPEDIA Y TRAUMATOLOGIA,Libre,10,NA,NA,1,1.759,1,50.4,15.2,79.359,Hospital Militar Central
CENTRO 2,Esp.,INMUNOLOGIA Y ALERGIA,Libre,8,NA,NA,NA,1.824,NA,39.2,15.2,64.224,NA
USMP,Esp.,DERMATOLOGIA,Libre,8,NA,NA,NA,1.918,1,52.8,15.2,78.918,NA
UNMSM,Esp.,PEDIATRIA,Libre,8,NA,NA,NA,1.828,NA,41.6,15.2,66.628,NA
UNT,Esp.,CIRUGIA GENERAL,Libre,10,NA,NA,NA,1.679,NA,40.4,15.2,67.279,NA
